Date,Open,High,Low,Close,Volume,Adj Close,20 Day SMA,50 Day SMA,Trade,
11/30/2012,33.63,34.28,33.01,33.82,1420300,33.82,31.857,29.944,,
12/3/2012,33.89,35,33.5,34.62,2085700,34.62,32.142,30.0154,,
12/4/2012,34.08,34.8,33.55,33.9,1263300,33.9,32.262,30.0754,,
12/5/2012,33.82,34.19,33.58,33.71,661500,33.71,32.39,30.1492,,
12/6/2012,33.82,34.8,33.5,33.9,660400,33.9,32.508,30.214,,
12/7/2012,34.3,34.49,33.85,34.17,664400,34.17,32.651,30.3442,,
12/10/2012,34.43,34.8,34.18,34.57,929800,34.57,32.8635,30.4848,,
12/11/2012,34.6,35.5,34.46,35.28,1572600,35.28,33.074,30.6206,,
12/12/2012,35.21,35.8,34.95,35.26,2063800,35.26,33.2565,30.7402,,
12/13/2012,35.26,35.3,32.75,33.61,2151300,33.61,33.368,30.8292,,
12/14/2012,33.78,34.4,33.59,33.81,1023000,33.81,33.5175,30.9094,,
12/17/2012,33.77,34.5,33.75,34.4,824900,34.4,33.6455,31.0114,,
12/18/2012,34.26,35.07,34.26,34.59,1553900,34.59,33.729,31.1152,,
12/19/2012,34.75,35.26,34.52,34.61,1298800,34.61,33.8095,31.2296,,
12/20/2012,34.51,34.79,34.05,34.43,921200,34.43,33.9075,31.3332,,
12/21/2012,33.94,34.17,33.58,34,1492400,34,34.001,31.4458,,
12/24/2012,33.64,34.35,33.55,34.28,375800,34.28,34.1015,31.5634,,
12/26/2012,33.96,34.5,33.5,33.59,601400,33.59,34.1735,31.6688,,
12/27/2012,33.5,33.91,33,33.69,561100,33.69,34.1965,31.7898,,
12/28/2012,33.38,33.65,33.02,33.22,414100,33.22,34.173,31.9076,,
12/31/2012,33,33.97,33,33.87,594900,33.87,34.1755,32.0238,,
1/2/2013,35,35.45,34.71,35.36,1194800,35.36,34.2125,32.1546,,
1/3/2013,35.18,35.45,34.75,34.77,742000,34.77,34.256,32.2892,,
1/4/2013,34.8,34.8,33.92,34.4,674000,34.4,34.2905,32.4224,,
1/7/2013,34.8,34.8,33.9,34.34,442000,34.34,34.3125,32.5522,,
